跟踪单号,运输状态,备注,运输商
01425061123459,到达待取,,DPD
01425061123460,到达待取,,DPD
00340434493851503637,成功签收,,DHL
00340434493851503644,成功签收,,DHL
00340434493851503651,运输途中,,DHL
00340434493851503668,成功签收,,DHL
00340434493851503675,成功签收,,DHL
00340434493851503682,成功签收,,DHL
00340434493851503699,成功签收,,DHL
00340434493851503705,运输途中,,DHL
00340434493851503774,运输途中,,DHL
00340434493851503767,成功签收,,DHL
01466810384494,运输途中,超过4天 最后更新时间 2021-08-19 12:34,DPD
014668105551 58,,,DPD
014668105551 59,,,DPD
01425061660328,,,DPD
01425061660327,,,DPD
01425061660330,,,DPD
01425061660329,,,DPD
01425061660366,,,DPD
01425061660365,,,DPD
01425061660368,,,DPD
01425061660367,,,DPD
01425061661858,,,DPD
01425061661949,,,DPD
01425061661950,,,DPD
01425061661939,,,DPD
01425061662165,,,DPD
01425061661945,,,DPD
01425061661946,,,DPD
01425061661947,,,DPD
01425061661948,,,DPD
01425061661940,,,DPD
01425061661941,,,DPD
01425061661942,,,DPD
01425061661943,,,DPD
01425061661944,,,DPD
