跟踪单号,运输状态,备注,运输商
01425061653720,运输途中,超过5天 最后更新时间 2021-08-18 06:35,DPD
01425061653712,投递失败,,DPD
01425061653718,成功签收,,DPD
01425061653748,到达待取,,DPD
01425061653746,运输途中,,DPD
01425061653719,成功签收,,DPD
01425061653713,成功签收,,DPD
01425061653714,成功签收,,DPD
01425061653715,成功签收,,DPD
01425061653716,成功签收,,DPD
01425061653717,成功签收,,DPD
01425061653721,成功签收,,DPD
01425061654719,成功签收,,DPD
01425061654722,成功签收,,DPD
01425061654725,到达待取,,DPD
01425061654737,成功签收,,DPD
01425061654738,成功签收,,DPD
01425061654739,成功签收,,DPD
01425061654740,成功签收,,DPD
01425061655450,到达待取,,DPD
01425061655483,成功签收,,DPD
01425061655523,运输途中,超过3天 最后更新时间 2021-08-19 21:49,DPD
01425061655524,运输途中,超过3天 最后更新时间 2021-08-19 21:52,DPD
01425061655526,运输途中,超过3天 最后更新时间 2021-08-19 21:52,DPD
01425061655527,运输途中,,DPD
01425061655553,成功签收,,DPD
01425061655554,运输途中,超过3天 最后更新时间 2021-08-19 21:52,DPD
01425061655563,运输途中,超过3天 最后更新时间 2021-08-20 10:10,DPD
01425061655562,成功签收,,DPD
01425061655561,成功签收,,DPD
01425061655560,成功签收,,DPD
01425061655522,运输途中,超过3天 最后更新时间 2021-08-19 21:49,DPD
01425061655520,运输途中,超过3天 最后更新时间 2021-08-20 10:10,DPD
01425061655482,成功签收,,DPD
01425061655481,运输途中,超过3天 最后更新时间 2021-08-19 21:52,DPD
01425061655480,成功签收,,DPD
01425061655479,到达待取,,DPD
01425061655478,到达待取,,DPD
01425061655467,运输途中,超过3天 最后更新时间 2021-08-19 21:50,DPD
01425061655502,成功签收,,DPD
01425061655503,成功签收,,DPD
01425061655504,成功签收,,DPD
01425061655506,到达待取,,DPD
01425061655559,运输途中,超过3天 最后更新时间 2021-08-19 21:52,DPD
01425061655558,成功签收,,DPD
01425061655556,到达待取,,DPD
01425061655540,到达待取,,DPD
01425061655541,运输途中,超过3天 最后更新时间 2021-08-20 05:03,DPD
01425061655549,运输途中,超过3天 最后更新时间 2021-08-19 21:52,DPD
01425061655548,运输途中,超过3天 最后更新时间 2021-08-19 21:49,DPD
01425061655547,成功签收,,DPD
01425061655546,成功签收,,DPD
01425061655545,到达待取,,DPD
01425061655544,投递失败,,DPD
01425061655543,成功签收,,DPD
01425061655542,成功签收,,DPD
01425061655517,到达待取,,DPD
01425061655521,运输途中,超过3天 最后更新时间 2021-08-19 21:49,DPD
01425061655555,到达待取,,DPD
01425061655552,成功签收,,DPD
01425061655551,成功签收,,DPD
01425061655550,运输途中,超过3天 最后更新时间 2021-08-20 10:59,DPD
01425061655539,到达待取,,DPD
01425061655538,成功签收,,DPD
01425061655537,成功签收,,DPD
01425061655525,成功签收,,DPD
01425061655512,成功签收,,DPD
01425061655533,成功签收,,DPD
01425061655529,到达待取,,DPD
01425061655484,成功签收,,DPD
01425061655531,成功签收,,DPD
01425061655514,成功签收,,DPD
01425061655515,到达待取,,DPD
01425061655516,成功签收,,DPD
01425061655518,成功签收,,DPD
01425061655519,投递失败,,DPD
01425061655510,成功签收,,DPD
01425061655505,成功签收,,DPD
01425061655501,成功签收,,DPD
01425061655497,成功签收,,DPD
01425061655493,成功签收,,DPD
01425061655513,成功签收,,DPD
01425061655511,成功签收,,DPD
01425061655532,成功签收,,DPD
01425061655534,成功签收,,DPD
01425061655535,成功签收,,DPD
01425061655536,成功签收,,DPD
01425061655564,成功签收,,DPD
01425061655565,成功签收,,DPD
01425061655486,到达待取,,DPD
01425061655566,到达待取,,DPD
01425061655530,成功签收,,DPD
01425061655528,成功签收,,DPD
01425061655489,成功签收,,DPD
01425061655509,成功签收,,DPD
01425061655508,成功签收,,DPD
01425061655475,成功签收,,DPD
01425061655474,成功签收,,DPD
01425061655473,成功签收,,DPD
01425061655472,成功签收,,DPD
01425061655471,到达待取,,DPD
01425061655470,成功签收,,DPD
01425061655469,成功签收,,DPD
01425061655468,到达待取,,DPD
01425061655476,成功签收,,DPD
01425061655477,成功签收,,DPD
01425061655500,成功签收,,DPD
01425061655499,运输途中,超过4天 最后更新时间 2021-08-18 22:22,DPD
01425061655507,到达待取,,DPD
01425061655487,成功签收,,DPD
01425061655488,成功签收,,DPD
01425061655490,到达待取,,DPD
01425061655491,成功签收,,DPD
01425061655492,成功签收,,DPD
01425061655494,成功签收,,DPD
01425061655495,成功签收,,DPD
01425061655496,成功签收,,DPD
01425061655498,成功签收,,DPD
01425061655485,成功签收,,DPD
01425061655653,成功签收,,DPD
01425061655652,成功签收,,DPD
01425061655637,成功签收,,DPD
01425061655625,成功签收,,DPD
01425061655623,投递失败,,DPD
01425061655622,到达待取,,DPD
01425061655621,成功签收,,DPD
01425061655620,成功签收,,DPD
01425061655618,成功签收,,DPD
01425061655617,成功签收,,DPD
01425061655656,成功签收,,DPD
01425061655657,成功签收,,DPD
01425061655658,成功签收,,DPD
01425061655641,成功签收,,DPD
01425061655640,成功签收,,DPD
01425061655639,到达待取,,DPD
01425061655638,成功签收,,DPD
01425061655649,成功签收,,DPD
01425061655650,成功签收,,DPD
01425061655651,成功签收,,DPD
01425061655663,成功签收,,DPD
01425061655662,成功签收,,DPD
01425061655661,成功签收,,DPD
01425061655660,成功签收,,DPD
01425061655659,成功签收,,DPD
01425061655616,到达待取,,DPD
01425061655614,投递失败,,DPD
01425061655613,成功签收,,DPD
01425061655666,成功签收,,DPD
