商品类目链接,https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US,,,,,
标题关键字列表(1个单词),标题关键字列表(2个单词),标题关键字列表(3个单词),五点关键字列表(1个单词),五点关键字列表(2个单词),五点关键字列表(3个单词),
door | 260 (11.3%),door stopper | 69 (3%),heavy duty door | 10 (0.4%),door | 684 (4.1%),the door | 133 (0.8%),of the door | 23 (0.1%),
stopper | 77 (3.3%),door stop | 66 (2.9%),door stopper wall | 10 (0.4%),doors | 160 (1%),door stopper | 121 (0.7%),door stopper is | 22 (0.1%),
stop | 70 (3%),heavy duty | 32 (1.4%),magnetic door stop | 10 (0.4%),wall | 149 (0.9%),door stop | 98 (0.6%),the door stopper | 18 (0.1%),
rubber | 52 (2.3%),magnetic door | 21 (0.9%),rubber bumper tips | 9 (0.4%),stopper | 140 (0.8%),door stops | 49 (0.3%),the door stop | 17 (0.1%),
pack | 52 (2.3%),door stops | 18 (0.8%),stopper wall protector | 9 (0.4%),stop | 127 (0.8%),door stoppers | 49 (0.3%),is made of | 16 (0.1%),
wall | 49 (2.1%),rubber door | 17 (0.7%),door security bar | 9 (0.4%),will | 104 (0.6%),can be | 47 (0.3%),can be used | 16 (0.1%),
heavy | 36 (1.6%),wall protector | 15 (0.7%),rubber door stop | 8 (0.3%),rubber | 102 (0.6%),magnetic door | 45 (0.3%),magnetic door stop | 16 (0.1%),
duty | 32 (1.4%),satin nickel | 14 (0.6%),hinge pin door | 6 (0.3%),easy | 82 (0.5%),the wall | 41 (0.2%),door stop is | 16 (0.1%),
bumper | 25 (1.1%),stainless steel | 12 (0.5%),,quality | 79 (0.5%),of the | 37 (0.2%),,
wedge | 25 (1.1%),,,home | 73 (0.4%),,,
,,,,,,
