商品title,商品链接,商品描述,商品五点,商品类目
"KOVOSCH Solid Rigid Door Stops with Soft Rubber Tips - Heavy Duty Durable Door Stoppers Wall Protector（White,2 Pack）",https://www.amazon.com/KOVOSCH-Solid-Rigid-Stops-Rubber/dp/B08DCQWHXP/ref=zg_bs_1069196_48/131-1975566-3041344?_encoding=UTF8&psc=1&refRID=0JXYXZRM5386GZB5BFT1&language=en_US&language=en_US,,"PROTECTS DOORS & WALLS - Prevent door slamming sound and the knob knock a hole in the door frame. KOVOSCH door stop protect your door and wall better.,DURABLE &TOUGH DESIGN - Made of Solid zinc alloy with die-casting process, optional different color finishes suit all styles of home decor. The rigid body & soft rubber tips mitigate the sound of the door slamming.,PRODUCT DIMENSION - 2 door stops with 2 anchors in total. Base diameter: 1"" ; Length: 2-7/8"". ( Refer to our dimension drawing for more details),EASY INSTALLATION - All you need is to mark the spot, get out the screws, place the door stop and you’re set. With an electric drill and a screwdriver,installation won’t take more than 1-3 minutes.,BUY WITH CONFIDENCE - Choose KOVOSCH to dress up your home. If there is any quality problem, please feel free to contact us. Refund or Replacement for any quality problem.",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
"KISEER 12 Pack Spring Door Stops 3 1/4"" Flexible Heavy Duty Spring Door Stopper with RustProof Screw Rubber Bumper Tips (Satin Nickel)",https://www.amazon.com/KISEER-Stoppers-Stainless-RustProof-BabyProof/dp/B07PXJXW2W/ref=zg_bs_1069196_22/131-1975566-3041344?_encoding=UTF8&psc=1&refRID=0JXYXZRM5386GZB5BFT1&language=en_US&language=en_US,,"High-quality: Our wide base design restricts those heavy, fast swinging doors from slamming into your walls and creating those dreaded doorknob holes, while also safeguarding your wood, steel, and fiberglass doors from marks and scrapes. Keep those damage and repair bills away with KISEER higher quality door stoppers.,Safe for Kids: We know that babies and small children are always so fascinated by spring door stops, but parents can be worry-free because your toddlers will have a much more difficult time removing the firm rubber tips from our uniquely designed low mounted door stops, which will likely reduce the risk of the door stop tips becoming a choking hazard.,Easy to Install: Doorstop is extremely easy to install within 1 minute. All you need is a screwdriver or driller. So simple that even adolescents can finish by themselves. Step 1: Rotate the metal plate at the bottom and move it away. Step 2: Take out the internal screw of the door stopper, insert it into the hole in the middle of the metal plate, and then fix the screw on the wall. Step 3 Fix the Door Stopper on the metal plate.,Size: The door stop spring is 3.25 inches. Use them behind every door in your home to beautifully match all of your other Satin or Brushed Nickel home accessories and decorations. You can even give them to family or friends for the perfect housewarming gift.,Packaging Includes: 12 Pack door stoppers and comes with mounting screws and bases(Note: that the screw is inside the door stopper. Rotate the metal plate at the bottom and move it away and then the screw can be removed). Protects walls from damage.",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
"Strongest Wall Door Handle Stopper 2"" Set. 6 Pieces of Clear Rubber Door Knob, Round Wall Shield Cushion. Quiet Wall Protector for Door Handle. Guard Door Bumper Wall Protector Silencer. Self Adhesive",https://www.amazon.com/Strongest-Cushion-Protector-Silencer-Adhesive/dp/B08958WBQN/ref=zg_bs_1069196_15/131-1975566-3041344?_encoding=UTF8&psc=1&refRID=0JXYXZRM5386GZB5BFT1&language=en_US&language=en_US,,"STRONG BUMPER TO PROTECT WALLS from the frustrating & damaging door slamming. Protect your interior or exterior door handle as well as wall from patching or hole in the wall. The Strongest wall shield on the market. Soft Pads dampen noise by absorbing shock and providing a cushion.,SET OF 6 CLEAR BUMPERS: Equip your home or office with high-quality door stopper wall bumpers that are sure to protect you from holes in the walls. Have peace of mind knowing that your wall is protected with strong round bumper thermoplastic rubbers pads that absorb shock and prevents noise. And since they are white, they are almost unnoticeable while protecting the door from hitting the wall.,3M STRONG SELF ADHESIVE: Set them up in seconds with the easy peel-off & self-adhesive design. Our wall mounted door bumper uses the industry-leading 3M adhesive which assures they will stay sticky for a very long time. Simply, these door handle wall protectors are super-durable and give you long-term protection.,GENEROUS SIZE: Our original Strongest Home door knob wall protectors are 2” diameter and with 0.2” height. This means that this 3M self-adhesive large doorknob blocker will give ultimate protection and cover all standard door knobs.,VERSATILE USE: This JUMBO set of 6 door slam stoppers are great for fridge or cabinet door, table corners, headboard, toilet seat. Use the door guards to protect the damage caused by the doorknob, door handle slamming. Or use the clear door stopper as rubber feet for different appliances and furniture. So, there is nothing stopping you to – Click Add to Cart -- & get ULTIMATE PROTECTION with the best door guard & door cushion stopper set.",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
"Door Stopper Rubber Door Stop Suitable for Door Bottom Clearance Within 0.9"" , Door Wedge Stoppers Floor Works on All Floor Types Heavy Duty Door Jam, Floors Door Stops with Door Holder (3 Pack Gray)",https://www.amazon.com/Stopper-Rubber-Suitable-Clearance-Stoppers/dp/B08ZGNNWH6/ref=zg_bs_1069196_23/131-1975566-3041344?_encoding=UTF8&psc=1&refRID=0JXYXZRM5386GZB5BFT1&language=en_US&language=en_US,,"Suitable for many door gaps: It fits under most door gaps and will withstand daily use without cracking apart. These door stoppers measure L 4.56"" x W 1.97"" x H 1.3"". Our unique sloped design and anti-slip base provide ultimate gripping power and allow your door stoppers to work on multiple surfaces. If the rubber door stopper is dirty, you can clean it, wipe it dry and use it again, the effect will be better. Note: It is recommended to use the door with a gap less than 0.9"" under the door.,Environmentally rubber: This kind of door stopper is made of good-quality rubber material, will not damage the ground, and has no traces. Strong grip, no damage to the door. Use it safely and securely.,Simple operation: Our door wedge just needs to be placed on the bottom of your door. There's no need for drilling holes or using adhesive tape. No sticky residue or ugly markings left behind. These rubber door wedges allow you to move freely in between rooms of your home, school or office, without having to open and close your doors every time. At home or office giving you enough to use for multiple bedroom, classroom or office doors etc.,Work on multiple surfaces: This door stopper can be applied to a variety of different grounds, with strong grip, such as wood, cement, vinyl, tile, or carpet. The rougher the ground, the stronger the grip of the door stopper.You're going to love the holder with Adhesive Tape. Fasten it to anywhere you want, door, wall, Or desk. For easy organize the doorstop.,Free for holder hooks: Comes with free holder hook each door stopper to hang the product on any door (or wall) in case the rubber door plug is lost and keep them safe and organized. It is very convenient.Perfect for indoor and outdoor use at home / office / cottage / garage / school and hospital.",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
"Neoera Door Stopper Wall Protector (Clear, 5pack)-Quiet, Shock Absorbent Gel - Adhesive Reusable Bumper Protector, Wall Shield & Silencer for Door Handle, Soft Rubber Round Door Stop 2”",https://www.amazon.com/Neoera-Stopper-Protector-Quiet-Absorbent/dp/B08BFNMDSH/ref=zg_bs_1069196_21/131-1975566-3041344?_encoding=UTF8&psc=1&refRID=0JXYXZRM5386GZB5BFT1&language=en_US&language=en_US,,"REUSABLE POWERFUL ADHESIVE TECHNOLOGY: Apply Neoera's door bumper Reusable adhesive technology to any surface. Change its location anytime by removing the bumper from the surface, washing it to remove any dirt, and allowing it to dry. The powerful adhesion will return and the bummer can be used again. No marks or damage left on walls. These door stoppers can be used anywhere.,PREMIUM SOFT GEL DOOR STOPPER PROTECTS YOUR WALL: Are you tormented by holes left on walls or noise caused by doors slamming and banging against the wall? Neoera gel door bumper is an excellent solution. It prevents wall damage caused by doors slamming against the wall. Save on home repair costs with our simple revolutionary technology.,CLEAR, TRANSPARENT, EASILY BLENDS INTO ALL BACKGROUNDS: Neoera's door bumper wall protector is clear and transparent. It easily blends into all backgrounds and surfaces. The door stopper is made with premium clear TPE material; the material will not discolor.,SUPER EASY TO INSTALL: Neoera's wall guards are super easy to put in place. Remove the peel and stick cover and place the gel stopper on the wall where your door handle will make contact. The stoppers are also perfect for protecting the walls from the refrigerator, furniture or shower doors!,PATENT PENDING & 100% MONEY BACK GUARANTEE - We know you will love these innovative door knob shields for keeping your walls protected and your home quiet, but if for any reason you're not satisfied, you can receive a full refund or replacement. Buy with confidence.",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
Magnetic Door Stopper Brushed Nickel No Drill 3M Double-Sided Adhesive Tape Magnet Door Stop Magnet Door Stopper Hold Door Open Magnetic Door Holder Door Stopper Magnetic Door Stop 2 Pack,https://www.amazon.com/Magnetic-Stopper-Brushed-Double-Sided-Adhesive/dp/B0936MYL3P/ref=zg_bs_1069196_82?_encoding=UTF8&psc=1&refRID=XYX06FBC78578AD9KXQJ&language=en_US&language=en_US,,"Drilling and non-drilling installation methods： Magnetic Door Stopper Brushed Nickel you can use 3M double-sided strong adhesive, which does not require drilling. Use 24 hours after pasting. You can also use the screws for permanent installation. magnet door stop,Super Sturdy—Elegant：magnetic door stop brushed nickel feature in high-quality stainless steel, solid, and rust-proof. a stylist look of magnetic door stopper 2 pack provides you longer service life than other doorstops.,Protection against Damage to Wall & Door： door stopper magnetic door stop from prevents your doors from slamming shut with integrated soft-catch doors technology, featuring soft-catch functionality to stop and hold any doors softly and silently. Exquisite spring buffer loaded in the catch absorbs the force of closing the door too hard, provide the wall better protection, bringing you peace of mind. magnetic door holder,Wide Application： You can apply magnetic door holder anywhere you want to keep your hold door open, such as homes, dormitories, offices, hotels, apartments, etc. long door stopper,Long Service Life：heavy duty door stoppers magnetic are constructed of high-quality stainless steel, solid, sturdy and rust-proof. door stopper will provide longer service life than other door stops in the market. so just buy with confidence! magnetic door stop adhesive,magnetic door stopper for metal door,magnet door stop soft-catch",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
Shepherd Hardware 3314 Designer Satin Nickel Door Wedge with Non-Skid Rubber Base Grip,https://www.amazon.com/Shepherd-Hardware-3314-Designer-Non-Skid/dp/B000IO8SZC/ref=zg_bs_1069196_32/131-1975566-3041344?_encoding=UTF8&psc=1&refRID=0JXYXZRM5386GZB5BFT1&language=en_US&language=en_US,,"Used to secure open doors in homes and offices,Metal construction with a rubber anti-skid base for better gripping action,Non-marking to help protect hardwood and laminate floors from scratches and dents,Satin nickel finish is designed to coordinate with contemporary decors and floor finishes,Safely wedges doors with up to 1.12"" floor clearance, 4.65"" in length",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
SECURITYMAN 2-in-1 Door Security Bar & Sliding Patio Door Security Bar (2 Pack) via Interchangeable Caps - Constructed of High Grade Iron - Black,https://www.amazon.com/Securityman-Door-Security-Sliding-Patio/dp/B07NVSP174/ref=zg_bs_1069196_38/131-1975566-3041344?_encoding=UTF8&psc=1&refRID=0JXYXZRM5386GZB5BFT1&language=en_US&language=en_US,,"2-IN-1 DOOR STOPPER SECURITY BAR & SLIDING DOOR LOCK BAR: Use this device for two different purposes with easily interchangeable caps for hinged doors and sliding door/window,ADJUSTABLE AND DURABLE: Door stopper security can be adjusted between 18.25"" to 47.50"" and constructed of high grade iron to withstand 400 pounds of pressure *please note: the sliding glass door lock caps decrease the maximum length to 46.50"",SECURITY DOOR STOPPER: Angled rubber bottom assures full contact and a strong brace on all types of floors without scratching them as well as all door knob types including french doors,EASY TO USE: Easily props under door knob and easy to remove. Security burglar bar can also be easily adjusted,WHAT'S INCLUDED: Security Safety Bar (3 parts), Door Caps (2pcs), Sliding Patio Door & Window Caps (2pcs), User Guide, 12 Month Warranty, & Friendly Customer Support",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
"Design House Accessories 181784 Standard Hinge Pin Door Stop, 10-Pack, Satin Nickel, 10 Count",https://www.amazon.com/Design-House-181784-Standard-10-Pack/dp/B074LC41Q2/ref=zg_bs_1069196_71?_encoding=UTF8&psc=1&refRID=XYX06FBC78578AD9KXQJ&language=en_US&language=en_US,"The Design House 181784 10-Pack  Hinge Pin Door is made of zinc alloy and has a satin nickel finish. This door stop protects walls and doors and will accommodate 1/4-inch to 5/16-inch diameter hinge pins and adjusts from 85-degrees to 125-degrees to suit your specific needs. The rubber bumper cushions walls with its padded surface and protects doors from unnecessary damage. Slamming a door can result in repair bills, punctured walls and splintered wood. With an intuitive setup, install this stop in seconds and defend your home from loose and swinging doors. This door stop is designed to withstand years of repeated use and outlast traditional stops of equal or greater value. Keep this product in your garage, cabinet or tool box and have a replacement stop whenever necessary. The Design House 202390 Hinge Pin Door has a 1-year limited warranty that protects against defects in materials and workmanship. Providing value to their customers, Design House uses industry leading merchandising solutions and innovative programs. Design House is committed to providing high quality products for your home improvemen","Satin nickel finish with gray rubber tips,Fits 1/4-inch to 5/16-inch diameter hinge pins,Adjustable from 85-degrees to 125-degrees,Rubber cushion protects walls and doors,1-Year limited warranty",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
"Pekasa Door Stopper and Window Stopper, Award Winning Design Heavy Duty Rubber Door Stops, Works on Any Floor Surface and Any Door Type, Door Wedge Stop in Modern Stylish Colors (Smokey Gray, 1 Pack)",https://www.amazon.com/Pekasa-Stopper-Winning-Surface-Stylish/dp/B08GWNZPYF/ref=zg_bs_1069196_78?_encoding=UTF8&psc=1&refRID=XYX06FBC78578AD9KXQJ&language=en_US&language=en_US,,"DOOR STOP THAT WORKS - This high end decorative door stopper is made from durable, flexible and strong rubber that will last a long time. The size of this doorstop will hold doors with clearances up to 1.5 inches. May not work on all doors,MULTISURFACE DOOR JAM - These high premium quality rubber door stoppers are perfect for any type of floor like tile, concrete, wood or carpet, and will stop your door from closing. Large door stop for heavy doors and tall door stopper. May not work on all floor types.,DOOR STOPPER DECORATIVE AND PLAYFUL - This is not your typical traditional door holder, this is a premium modern colorful cute door stopper that will catch your eye and will look great in your home or office, or as a great gift idea,VERSATILE AND MULTI-USE STOPPERS - This door stops for floor is great for any door in your home, as you can use it in a variety of ways due to it's unique and different design. Can be used on doors, windows, hinges, sliding doors, inner frames and handles to protects walls,DOOR STOPPERS FLOOR PERFECT SIZE – Its triangular shape allows it to hold doors and windows due to its very unique size 4.72 x 0.78 x 3.15 inches. Free of Lead, BPA and Phthalates and it is odorless. 100% Customer Satisfaction if something is not right let us know,SET OF 1, 2 OR 3 UNITS - This large door stopper wedge is a great rubber door stopper and works as a heavy duty door stop or door wedge stopper. You can buy in packs of 1, 2 or 3 heavy door stopper.,DOORSTOPS WEDGE AVAILABLE IN MULTIPLE COLORS - You can purchase large door stop in 12 colors: Black, Smokey Gray, White, Dark Blue, Canary Yellow, Coral Red, Gold Sand, Hot Pink, Lime Green, Papaya Orange, Purple Punch and Sky Blue",https://www.amazon.com/gp/bestsellers/office-products/1069196/ref=pd_zg_hrsr_office-products?language=en_US
