收件人国家/Consignee Country,省/州/府/Province,城市/区/City,邮编/Zip Code
DE,Mecklenburg-Vorpommern,Ribnitz-Damgarten,18311
IT,Vibo Valentia,Vibo Valentia,89900
FR,Evry,Evry Courcouronnes,91000
IT,Cagliari,Sadali,08030
IT,Bari,Bitonto,70032
IT,Lecce,Lecce,73100
IT,Trapani,Castelvetrano,91022
IT,Napoli,Pozzuoli,80078
IT,lecce,galatina,73013
IT,Taranto,Massafra,74016
IT,ROMA,roma,00178
IT,Napoli,San Giuseppe Vesuviano,80047
IT,Ferrara,Alberone di Cento,44042
IT,Lucca,Capannori,55012
IT,taranto,taranto,74123
IT,mi,corbetta,20011
IT,LE,Lecce,73100
IT,rm,roma,00139
IT,Messina,Messina,98151
IT,Messina,San Filippo del Mela,98044
IT,Napoli,Torre del greco,80059
IT,Mantova,Roncoferraro,46037
IT,Caserta,Casapulla,81020
IT,Reggio Emilia,Cadelbosco di Sopra,42023
IT,Salerno,Nocera Inferiore,84014
IT,BT,Andria,76123
IT,MB,Carnate,20866
IT,Potenza,Marsico Nuovo,85052
IT,Bergamo,Vertova,24029
IT,Lodi,Guardamiglio,26862
IT,Bari,Bitonto,70032
IT,CA,Assemini,09032
IT,Lazio,Roma,00139
IT,Roma,Fiumicino,00054
IT,PA,Partinico,90047
IT,RM,Roma,00182
IT,Napoli,Napoli,80144
FR,Essonne,MARCOUSSIS,91460
IT,CT,CATANIA,95121
IT,Sassari,Sorso,07037
IT,PZ,Potenza,85100
FR,,Marcoussis,91460
IT,Roma,Velletri,00049
IT,LE,Lecce,73100
IT,Bologna,SAN GIOVANNI IN PERSICETO,40017
IT,Ascoli Piceno,Castel di Lama,63082
IT,fc,cesena,47522
IT,Bologna,Minerbio,40061
IT,Frosinone,Santopadre,03030
IT,CS,Dipignano,87045
IT,Catania,Catania,95122
IT,pordenone,maniago,33085
IT,Isernia,Roccaravindola,86070
IT,AP,Castel Di Lama,63082
IT,TO,Torino,10137
IT,Pa,Palermo,90142
IT,LT,Pontinia,04014
IT,NA,Napoli,80132
IT,PALERMO,PALERMO,90121
IT,Barletta-Andria-Trani,TRANI,76125
IT,Taranto,Taranto,74123
IT,Napoli,Napoli,80131
IT,Palermo,palermo,90138
IT,LO,Brembio,26822
IT,PA,Palermo,90134
FR,,Nice,06000
FR,,Creteil,94000
FR,,Le Haillan,33185
FR,,Halluin,59250
FR,,Halluin,59250
FR,,Marseille,13010
IT,Cagliari,Decimomannu,09033
IT,CA,Cagliari,09122
IT,GE,GENOVA,16149
IT,BA,Bitonto,70032
FR,,Pessac,33600
IT,BR,Brindisi,72100
FR,,Frejus,83600
FR,,Les Fins,25500
IT,MB,NOVA MILANESE,20834
FR,,Aubervilliers,93300
FR,,Audun Le Tiche,57390
FR,,St Julien D Oddes,42260
IT,Im,Taggia,18018
IT,NA,Striano,80040
IT,Nuoro,Austis,08030
FR,,Cébazat,63118
FR,,Cébazat,63118
FR,,Cébazat,63118
IT,PG,Città di castello,06012
IT,SU,Guspini,09036
FR,,LA ROCHELLE,17000
FR,,Frejus,83600
IT,PA,Ventimiglia di Sicilia,90020
IT,Bologna,VILLANOVA DI CASTENASO,40055
IT,Cuneo,Alba,12051
IT,LT,Minturno,04026
FR,,86230 - ST GERVAIS LES TROIS CLOCHERS,86230
IT,CATANZARO,CATANZARO,88100
FR,,BAVENT,14860
FR,,BRANOUX LES TAILLADES,30110
FR,,BRANOUX LES TAILLADES,30110
FR,France,Cisse,86170
IT,Latina,Cisterna di Latina,04012
IT,Milano,Cinisello Balsamo,20092
IT,Latina,Cisterna di Latina,04012
IT,Cagliari,Quartu Santelena,09045
IT,napoli,napoli,80147
IT,Milano,Mediglia,20060
FR,,Nantes,44300
IT,Torino,Rivalta di Torino,10040
IT,LATINA,Minturno,04026
IT,FM,Pedaso,63827
IT,Napoli,SAN GENNARELLO,80044
IT,PR,Madregolo,43044
FR,,Halluin,59250
IT,Cosenza,Montalto Uffugo,87040
IT,Trapani,Mazara del Vallo,91026
IT,,Trecase,80040
IT,Taranto,Taranto,74123
IT,PU,Fermignano,61033
IT,Messina,Messina,98124
IT,NA,Napoli,80138
FR,,Creteil,94000
FR,,RILLIEUX LA PAPE,69140
FR,,autry le chatel,45500
IT,Oristano,Oristano,09170
IT,BA,Acquaviva Delle Fonti,70021
FR,,Le Girouard,85150
FR,,Béziers,34500
FR,,GODEWAERSVELDE,59270
FR,,Grande Synthe,59760
IT,PA,Carini,90044
FR,,Gex,01170
FR,,viesly,59271
FR,,St Doulchard,18230
IT,pisa,pomarance,56045
FR,,Brion,89400
IT,Verona,Verona,37141
IT,Caserta,Succivo,81030
FR,ile de france,ivry sur seine,94200
FR,,limoges,87100
IT,Pisa,Staffoli,56029
FR,,Asnières sur Seine,92600
IT,Bari,Casamassima,70010
FR,Les Echets,Miribel,01700
IT,Ge,Genova,16145
IT,Messina,Messina,98151
IT,Bologna,bologna,40132
